run_id	created_at	event	branch	run_conclusion	job_name	job_conclusion	duration_s
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Knip	success	75
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Docgen	failure	534
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Test Unit	failure	267
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Coverage Regression	failure	790
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Test Integration	success	288
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Professional Desktop IPC Stdio	success	59
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Check	failure	380
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Codegen Drift	success	72
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Lint Policy	failure	538
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	PR Size Label	success	7
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Repo Sanity	failure	89
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Lint	success	301
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Secret Scanning	success	36
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Security	success	50
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	SAST	success	79
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	JSDoc Ratchet	success	280
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Fallow Advisory Envelopes	failure	96
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Property Laws	success	194
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Nix Shell	success	69
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Commitlint	success	69
30734822037	2026-08-02T05:50:22Z	pull_request	chore/effect-jsdoc-quality	failure	Build	skipped	
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Property Laws	success	618
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Secret Scanning	success	36
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Professional Desktop IPC Stdio	success	56
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Fallow Advisory Envelopes	success	91
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Repo Sanity	success	93
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Test Integration	success	331
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Security	success	38
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Knip	success	77
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Codegen Drift	success	72
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Lint Policy	success	869
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Docgen	cancelled	1217
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Lint	success	301
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	JSDoc Ratchet	success	289
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Coverage Regression	success	818
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	PR Size Label	success	8
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	SAST	success	81
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Nix Shell	success	72
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Commitlint	success	69
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Check	cancelled	1218
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Test Unit	success	703
30733981624	2026-08-02T05:21:27Z	pull_request	@chore/7-30-26	cancelled	Build	skipped	0
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	PR Size Label	success	8
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Professional Desktop IPC Stdio	cancelled	22
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Lint Policy	cancelled	21
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Fallow Advisory Envelopes	cancelled	22
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Knip	cancelled	20
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Repo Sanity	cancelled	21
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Codegen Drift	cancelled	21
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Docgen	cancelled	21
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Coverage Regression	cancelled	20
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Property Laws	cancelled	21
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	SAST	cancelled	21
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	JSDoc Ratchet	cancelled	20
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Nix Shell	cancelled	21
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Security	cancelled	21
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Secret Scanning	cancelled	20
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Commitlint	cancelled	21
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Test Integration	cancelled	20
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Check	cancelled	20
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Lint	cancelled	20
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Build	skipped	0
30733969199	2026-08-02T05:21:02Z	pull_request	@chore/7-30-26	cancelled	Test Unit	cancelled	20
30733723350	2026-08-02T05:12:55Z	push	main	failure	Knip	success	67
30733723350	2026-08-02T05:12:55Z	push	main	failure	Professional Desktop IPC Stdio	success	56
30733723350	2026-08-02T05:12:55Z	push	main	failure	Build	success	178
30733723350	2026-08-02T05:12:55Z	push	main	failure	JSDoc Ratchet	success	282
30733723350	2026-08-02T05:12:55Z	push	main	failure	Fallow Advisory Envelopes	success	87
30733723350	2026-08-02T05:12:55Z	push	main	failure	Nix Shell	success	67
30733723350	2026-08-02T05:12:55Z	push	main	failure	Property Laws	success	613
30733723350	2026-08-02T05:12:55Z	push	main	failure	Security	success	48
30733723350	2026-08-02T05:12:55Z	push	main	failure	SAST	success	76
30733723350	2026-08-02T05:12:55Z	push	main	failure	Commitlint	success	66
30733723350	2026-08-02T05:12:55Z	push	main	failure	Test Unit	success	674
30733723350	2026-08-02T05:12:55Z	push	main	failure	Secret Scanning	success	41
30733723350	2026-08-02T05:12:55Z	push	main	failure	Coverage Regression	success	788
30733723350	2026-08-02T05:12:55Z	push	main	failure	Check	success	365
30733723350	2026-08-02T05:12:55Z	push	main	failure	Docgen	success	521
30733723350	2026-08-02T05:12:55Z	push	main	failure	Lint Policy	failure	781
30733723350	2026-08-02T05:12:55Z	push	main	failure	Test Integration	success	277
30733723350	2026-08-02T05:12:55Z	push	main	failure	Repo Sanity	success	95
